"Year","Rank","Book_Title","Author","Rating","Num_Customers_Rated","Price"
2012,15,"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin",4.6,5841,3.72
2012,16,"Killing Kennedy: The End of Camelot","Bill O'Reilly",4.6,8933,19.82
2012,17,"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association",4.5,10390,15.99
2012,18,"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly",4.7,9695,19.99
2012,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Laura Hillenbrand",4.8,30706,20.98
2012,20,"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife","Eben Alexander",4.3,14169,0.35
2012,21,"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman",4.7,3931,19.6
2012,22,"Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook","Ina Garten",4.8,1527,4.88
2012,23,"Thinking, Fast and Slow","Daniel Kahneman",4.6,14701,20.49
2012,24,"The Casual Vacancy","J.K. Rowling",3.3,9729,16.95
2012,25,"The Harbinger: The Ancient Mystery that Holds the Secret of America's Future","Jonathan Cahn",4.7,13699,2.19
2012,26,"The Power of Habit: Why We Do What We Do in Life and Business","Charles Duhigg",4.6,13109,19.47
2012,27,"Steve Jobs: The Exclusive Biography","Walter Isaacson",4.6,8492,16.85
2012,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","William Davis",4.4,7876,10.15
2012,29,"Oh, the Places You'll Go!","Dr. Seuss",4.9,16860,8.98
2012,30,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",4.6,10721,33.97
2012,31,"The Five Dysfunctions of a Team: A Leadership Fable","Patrick Lencioni",4.6,3794,19.54
2012,32,"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain",4.6,12045,19.1
2012,33,"The Great Gatsby","F. Scott Fitzgerald",4.4,10819,8.74
2012,34,"The Racketeer","John Grisham",4.3,15885,22.17
2012,35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!","Mark Hyman M.D.",4.3,1990,20.84
2012,36,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker",4.9,9879,0.47
2012,37,"The Immortal Life of Henrietta Lacks","Rebecca Skloot",4.7,11378,0.94
2012,38,"The Fault in Our Stars","John Green",4.7,52620,12.99
2012,39,"The Serpent's Shadow (The Kane Chronicles, Book 3)","Rick Riordan",4.8,2704,17.15
2012,40,"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp",4.6,3578,13.21
2012,41,"Wild: From Lost to Found on the Pacific Crest Trail","Cheryl Strayed",4.5,18573,20.09
2012,42,"Winter of the World: Book Two of the Century Trilogy","Ken Follett",4.6,12146,23.99
2012,43,"The Pioneer Woman Cooks: Food from My Frontier","Ree Drummond",4.8,3347,3.73
2012,44,"The Lego Ideas Book: Unlock Your Imagination","Daniel Lipkowitz",4.4,5770,21.15
2012,45,"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo",4.7,16129,7.54
2012,46,"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young",4.9,21947,7.26
2012,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD",4.5,7408,0.35
2012,48,"Thomas Jefferson: The Art of Power","Jon Meacham",4.6,2150,32.99
2012,49,"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins",4.5,3919,13.99
2012,50,"The Amateur","Edward Klein",4.5,2624,8.98
2012,51,"The Smitten Kitchen Cookbook: Recipes and…","Deb Perelman",4.7,1378,19.69
2012,52,"What to Expect When You're Expecting","Heidi Murkoff",4.4,3468,14.99
2012,53,"The Walking Dead: Compendium One","Robert Kirkman",4.8,4795,5.78
2012,54,"The Signal and the Noise: Why So Many…","Nate Silver",4.4,1524,21.88
2012,55,"How to Tell If Your Cat Is Plotting to Kill You…","The Oatmeal",4.5,6818,8.32
2012,56,"A Dance with Dragons (A Song of Ice and Fire)","George R. R. Martin",4.4,13757,20.98
2012,57,"America Again: Re-becoming the Greatness We…","Stephen Colbert",4.3,543,17.95
2012,58,"LEGO NINJAGO: Character Encyclopedia","DK Publishing",4.7,791,2.25
2012,59,"American Sniper: The Autobiography of the Most…","Chris Kyle",4.6,16864,18.96
2012,60,"Outliers: The Story of Success","Malcolm Gladwell",4.7,13528,7.79
2012,61,"Teach Like a Champion: 49 Techniques that Put…","Doug Lemov",4.5,705,19.9
2012,62,"Bared to You","Sylvia Day",4.3,10507,10
2012,63,"The Four Agreements: A Practical Guide to…","Don Miguel Ruiz",4.7,37112,5.72
2012,64,"Strengths Based Leadership: Great Leaders,…","Tom Rath",4.5,1655,18.99
2012,65,"The 17 Day Diet: A Doctor's Plan Designed for…","Mike Moreno",4.3,2514,20.99
2012,66,"Crazy Love: Overwhelmed by a Relentless God","Francis Chan",4.7,1664,14.98
2012,67,"Go the F**k to Sleep","Adam Mansbach",4.8,12852,12.58
2012,68,"Bring Up the Bodies","Hilary Mantel",4.5,5796,21.08
2012,69,"Great by Choice: Uncertainty, Chaos, and Luck…","Jim Collins",4.6,819,16.98
2012,70,"Eat to Live: The Amazing Nutrient-Rich Program…","Joel Fuhrman MD",4.5,7409,1.35
2012,71,"Reflected in You (Crossfire, Book 2)","Sylvia Day",4.6,9417,13.66
2012,72,"Who Moved My Cheese","Spencer Johnson",4.6,9496,8.84
2012,73,"The Book Thief","Markus Zusak",4.6,26,0.35
2012,74,"A Guide to the Project Management Body of…","Project Management Institute",4.3,611,17.89
2012,75,"Behind the Beautiful Forevers: Life, Death, and…","Katherine Boo",4.3,3009,19.24
2012,76,"Deadlocked (Sookie Stackhouse/True Blood,…","Charlaine Harris",4.3,3138,13
2012,77,"Crucial Conversations Tools for Talking When…","Kerry Patterson",4.6,5427,16.99
2012,78,"Forks Over Knives: The Plant-Based Way to Health","Gene Stone",4.6,2027,7.86
2012,79,"The Jesus Storybook Bible: Every Story Whispers…","Sally Lloyd-Jones",4.9,687,10.99
2012,80,"Notorious Nineteen: A Stephanie Plum Novel","Janet Evanovich",4.5,6243,15
2012,81,"The 4-Hour Chef: The Simple Path to Cooking…","Timothy Ferriss",4.5,248,34.55
2012,82,"Cloud Atlas","David Mitchell",4.2,414,1.49
2012,83,"The Alchemist","Paulo Coelho",4.7,42046,37.9
2012,84,"The Hunger Games","Suzanne Collins",4.7,34046,9.96
2012,85,"Help, Thanks, Wow: The Three Essential Prayers","Anne Lamott",4.6,1447,1.6
2012,86,"Wonder","R. J. Palacio",4.8,26081,0.35
2012,87,"Stop Living In This Land, Go To The Everlasting…","Woo Myung",3.8,43,18.59
2012,88,"To Heaven and Back: A Doctor's Extraordinary…","Mary C. Neal",4.5,3809,14.69
