title,series,rating,language,genres,bookFormat,pages,publisher,publishDate,awards,numRatings,ratingsByStars,likedPercent,setting,Year,Author,Num_Customers_Rated,Price
Decision Points,,3.79,English,"['Biography', 'Nonfiction', 'Politics', 'History', 'Memoir', 'Presidents', 'Autobiography', 'American History', 'Biography Memoir', 'Leadership']",Hardcover,497,Crown,November 9th 2010,['Goodreads Choice Award Nominee for Memoir and Autobiography (2010)'],36679,"['9728', '14700', '8676', '2147', '1428']",90.0,[],2010.0,George W. Bush,2201.0,17.8
"Delivering Happiness: A Path to Profits, Passion, and Purpose",,4.01,English,"['Business', 'Nonfiction', 'Leadership', 'Entrepreneurship', 'Biography', 'Management', 'Self Help', 'Buisness', 'Personal Development', 'Audiobook']",Hardcover,246,Grand Central Publishing,June 7th 2010,['Goodreads Choice Award Nominee for Nonfiction (2010)'],61870,"['25394', '20077', '10437', '3282', '2680']",90.0,[],2010.0,Tony Hsieh,2009.0,23.51
Divergent,Divergent #1,4.19,English,"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']",Paperback,487,Katherine Tegen Books,02/28/12,"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)', 'Milwaukee County Teen Book Award Nominee (2012)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'Sakura Medal', 'New Mexico Land of Enchantment Award for Young Adult (2014)', 'Eliot Rosewater Indiana High School Book Award (2014)', 'California Young Readers Medal for Young Adult (2014)', 'Lincoln Award Nominee (2014)', 'DABWAHA Romance Tournament for Best Young Adult Romance (2012)', 'Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011)', 'Green Mountain Book Award (2013)', 'The Magnolia Award for 6-8 (2014)', ""Louisiana Teen Readers' Choice (2014)"", 'Missouri Gateway Readers Award (2014)', 'Oklahoma Sequoyah Award for High Schol (2014)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)']",2906258,"['1409189', '882493', '434381', '123286', '56909']",94.0,"['Chicago, Illinois (United States)']",2013.0,Veronica Roth,28544.0,13.53
Don't Let the Pigeon Drive the Bus!,Pigeon,4.3,English,"['Picture Books', 'Childrens', 'Humor', 'Fiction', 'Animals', 'Storytime', 'Fantasy', 'Birds', 'Transport', 'Kids']",Hardcover,40,Walker Books Ltd,July 5th 2004,"['Caldecott Medal Nominee (2004)', 'Kentucky Bluegrass Award for K-2 (2005)', 'Charlotte Zolotow Award Nominee (2004)', ""Vermont's Picture Book Awards: Red Clover (2005)"", 'South Carolina Book Award for Picture Book Award (2006)', ""Flicker Tale Children's Book Award (2005)"", 'Golden Archer Award for Primary (2005)', 'Buckaroo Book Award (2004)', 'Indies Choice Book Award for Picture Book Hall of Fame (2009)', 'CLEL Silver Bell Award Nominee for Talk (2013)']",80064,"['45941', '19006', '10203', '3222', '1692']",94.0,[],,Mo Willems,,
Down and Out in Paris and London,,4.1,English,"['Nonfiction', 'Classics', 'Biography', 'Memoir', 'Travel', 'Literature', 'History', 'France', 'British Literature', 'Autobiography']",Paperback,213,Mariner Books,March 15th 1972,[],61959,"['22241', '26610', '10658', '1914', '536']",96.0,"['London, England', 'Paris (France)']",,George Orwell,,
Dr. Seuss's ABC,,4.09,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Kids', 'Fantasy', 'Humor', 'Juvenile', 'Animals']",Board Book,21,Random House,November 26th 1996,[],42081,"['19737', '10563', '8424', '2414', '943']",92.0,[],,Dr. Seuss,,
Drive: The Surprising Truth About What Motivates Us,,3.95,English,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management', 'Education', 'Productivity', 'Science']",Hardcover,242,Riverhead Books,December 29th 2009,[],94384,"['31763', '36052', '19115', '4849', '2605']",92.0,[],2010.0,Daniel H. Pink,3260.0,2.06
Each Peach Pear Plum,,4.22,English,"['Picture Books', 'Childrens', 'Poetry', 'Fiction', 'Nursery Rhymes', 'Fairy Tales', 'Classics', 'Storytime', 'Juvenile', 'Fantasy']",Board book,34,Puffin Books,September 1st 1999,['Kate Greenaway Medal (1978)'],16552,"['8448', '4527', '2664', '646', '267']",94.0,[],,Janet Ahlberg,,
East,East #1,4.14,English,"['Fantasy', 'Young Adult', 'Fairy Tales', 'Romance', 'Retellings', 'Fiction', 'Adventure', 'Magic', 'Middle Grade', 'Young Adult Fantasy']",Paperback,507,HMH Books for Young Readers,May 1st 2005,"['Michigan Library Association Thumbs Up! Award Nominee (2004)', ""Rebecca Caudill Young Readers' Book Award Nominee (2008)""]",39501,"['17470', '12953', '6923', '1608', '547']",95.0,"['Andalsnes (Norway)', 'La Rochelle (France)']",,Meera Sodha,,
Educated,,4.47,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Biography Memoir', 'Autobiography', 'Book Club', 'Adult', 'Education', 'Religion']",Hardcover,334,Random House,February 20th 2018,"['Audie Award for Best Female Narrator (2019)', 'Los Angeles Times Book Prize Nominee for Biography (2018)', 'ALA Alex Award (2019)', 'Wellcome Book Prize Nominee for Longlist (2019)', 'National Book Critics Circle Award Nominee for Autobiography (2018)', 'Goodreads Choice Award for Memoir & Autobiography (2018)', 'PEN/Jean Stein Book Award Nominee for Shortlist (2019)', 'Reading Women Award for Nonfiction (2018)']",796019,"['477689', '236894', '62027', '12742', '6667']",98.0,"['Idaho Mountains (United States)', 'Idaho (United States)', 'Arizona (United States)', 'Rome (Italy)', 'Paris (France)', 'Palmyra, New York (United States)', 'Boston, Massachusetts (United States)', 'Harvard University, Cambridge, Massachusetts (United States)', 'Cambridge, England (United Kingdom)']",,Tara Westover,,
Emotional Intelligence 2.0,,3.84,English,"['Psychology', 'Nonfiction', 'Self Help', 'Business', 'Leadership', 'Personal Development', 'Management', 'Buisness', 'Relationships', 'Science']",Hardcover,255,Talentsmart,June 16th 2009,['IBPA Benjamin Franklin Awards for Career (2010)'],71117,"['23606', '22910', '17074', '4950', '2577']",89.0,[],2016.0,Travis Bradberry,5996.0,13.67
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",,4.49,English,"['Nonfiction', 'Christian', 'Faith', 'Self Help', 'Religion', 'Christian Living', 'Spirituality', 'Audiobook', 'Christianity', 'Inspirational']",Paperback,240,Thomas Nelson,April 17th 2018,[],22787,"['14695', '5502', '1905', '500', '185']",97.0,[],2018.0,Bob Goff,4195.0,11.89
Everything I Know About Love,,4.19,,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Feminism', 'Romance', 'Autobiography', 'Contemporary', 'Essays', 'Biography Memoir']",Hardcover,368,Harper,February 25th 2020,[],46141,"['21903', '14705', '6817', '1934', '782']",94.0,[],,Dolly Alderton,,
Everything I Never Told You,,3.86,English,"['Fiction', 'Contemporary', 'Mystery', 'Historical Fiction', 'Audiobook', 'Adult', 'Literary Fiction', 'Adult Fiction', 'Family', 'Book Club']",Hardcover,292,Penguin Press,June 26th 2014,"['CWA New Blood Dagger Nominee (2015)', 'ALA Alex Award (2015)', 'Prix Relay des Voyageurs Nominee (2016)', 'Goodreads Choice Award Nominee for Debut Goodreads Author (2014)', 'Asian/Pacific American Award for Literature for Adult Fiction (2014)']",338874,"['87049', '144847', '84391', '17686', '4901']",93.0,['Ohio (United States)'],,Celeste Ng,,
"Everything, Everything",,4.05,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult Contemporary', 'Teen', 'Coming Of Age', 'Young Adult Romance']",Hardcover,306,Delacorte Books for Young Readers,September 1st 2015,"['South Carolina Book Award for Young Adult (2018)', ""Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2017)"", 'Rhode Island Teen Book Award (2017)', 'Evergreen Teen Book Award (2018)', 'Soaring Eagle Book Award (2016)', 'Milwaukee County Teen Book Award Nominee (2017)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2016)', 'Eliot Rosewater Indiana High School Book Award (2018)', 'Goodreads Choice Award Nominee for Debut Goodreads Author, and for Young Adult Fiction (2015)', 'Missouri Gateway Readers Award Nominee (2017)']",378851,"['151068', '130610', '70470', '19628', '7075']",93.0,"['Los Angeles, California (United States)', 'Maui, Hawaii (United States)']",2017.0,Nicola Yoon,4412.0,0.94
Fahrenheit 451,,3.99,English,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']",Kindle Edition,194,Simon & Schuster,11/29/11,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']",1680139,"['612098', '604888', '331815', '91160', '40178']",92.0,[],2016.0,Ray Bradbury,15042.0,1.26
Fantastic Beasts and Where to Find Them,Hogwarts Library,3.98,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade', 'Short Stories', 'Science Fiction Fantasy', 'Dragons']",Hardcover,128,Arthur A. Levine Books,June 1st 2001,[],330094,"['127539', '100157', '77221', '19657', '5520']",92.0,[],,J. K. Rowling,,
Fifty Shades Darker,Fifty Shades #2,3.84,English,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance', 'Chick Lit', 'Erotic Romance', 'Adult Fiction']",Paperback,532,The Writer's Coffee Shop Publishing House,09/16/11,[],745051,"['307884', '178317', '139476', '71981', '47393']",84.0,"['Seattle, Washington (United States)']",2012.0,E L James,26461.0,0.32
Find Me,Call Me By Your Name #2,3.32,English,"['Fiction', 'Romance', 'LGBT', 'Contemporary', 'Queer', 'Gay', 'Audiobook', 'Adult', 'Literary Fiction', 'Novels']",Hardcover,260,"Farrar, Straus and Giroux",October 29th 2019,['Goodreads Choice Award Nominee for Fiction (2019)'],27452,"['4699', '7571', '8742', '4670', '1770']",77.0,[],,Andre Aciman,,
Fire and Fury: Inside the Trump White House,,3.44,English,"['Nonfiction', 'Politics', 'History', 'Audiobook', 'Biography', 'American History', 'Unfinished', 'Presidents', 'Journalism', 'American']",Hardcover,322,Henry Holt and Co.,January 5th 2018,[],71315,"['11596', '22558', '25694', '8399', '3068']",84.0,"['White House, Washington, D.C. (United States)']",2018.0,Michael Wolff,14617.0,11.1
Flow,,4.13,,"['Self Help', 'Psychology', 'Personal Development', 'Nonfiction', 'Productivity']",,303,,,[],200,"['82', '71', '40', '5', '2']",97.0,[],,Mihaly Csikszentmihalyi,,
Freedom,,3.76,English,"['Fiction', 'Contemporary', 'Novels', 'Literary Fiction', 'Literature', 'American', 'Adult Fiction', 'Family', 'Audiobook', 'Book Club']",Hardcover,562,"Farrar, Straus and Giroux",August 31st 2010,"['Warwick Prize for Writing Nominee for Longlist (2013)', 'Los Angeles Times Book Prize Nominee for Fiction (2010)', 'Chicago Tribune Heartland Prize for Fiction (2011)', 'National Book Critics Circle Award Nominee for Fiction (2010)', 'Bad Sex in Fiction Award Nominee (2010)', 'John Gardner Book Award for Fiction (2011)', 'Goodreads Choice Award Nominee for Favorite Book and for Fiction (2010)']",150235,"['42269', '55185', '33341', '12890', '6550']",87.0,[],2010.0,Jonathan Franzen,1969.0,10.08
Friend Request,,3.79,English,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Contemporary', 'Psychological Thriller', 'Adult', 'Audiobook']",Kindle Edition,385,Grand Central Publishing,September 5th 2017,[],38253,"['9864', '14900', '10025', '2543', '921']",91.0,[],,Laura Marshall,,
"Full Dark, No Stars",,4.06,English,"['Horror', 'Short Stories', 'Fiction', 'Thriller', 'Mystery', 'Suspense', 'Audiobook', 'Anthologies', 'Fantasy', 'Crime']",Hardcover,368,Scribner,November 2010,"['Bram Stoker Award for Best Fiction Collection (2010)', 'British Fantasy Award for Best Collection (2011)', 'Goodreads Choice Award Nominee for Mystery & Thriller (2010)']",92250,"['32610', '38083', '17346', '3160', '1051']",95.0,['United States of America'],2010.0,Stephen King,2423.0,1.33
Gangsta Granny,,4.29,English,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Adventure', 'Novels', 'Family', 'Comedy', 'Young Adult', 'Audiobook']",Hardcover,299,HarperCollins Children's books,2011,[],15280,"['7937', '4709', '1990', '462', '182']",96.0,[],,David Walliams,,
Getting Things Done: The Art of Stress-Free Productivity,,3.99,English,"['Nonfiction', 'Business', 'Productivity', 'Self Help', 'Personal Development', 'Management', 'Leadership', 'Psychology', 'Reference', 'Audiobook']",Paperback,267,Penguin Group,December 31st 2002,[],128554,"['49329', '43403', '24569', '7227', '4026']",91.0,[],2011.0,David Allen,3585.0,0.35
"Girl, Woman, Other",,4.42,English,"['Fiction', 'Feminism', 'Contemporary', 'Short Stories', 'Literary Fiction', 'LGBT', 'Race', 'Audiobook', 'Queer', 'Novels']",Hardcover,453,Hamish Hamilton,May 2nd 2019,"['Booker Prize (2019)', 'Orwell Prize Nominee for Political Fiction for Shortlist (2020)', ""Women's Prize for Fiction Nominee for Shortlist (2020)"", 'Goodreads Choice Award Nominee for Fiction (2019)']",78141,"['44433', '24900', '6898', '1377', '533']",98.0,[],,Bernardine Evaristo,,
"Gmorning, Gnight!: Little Pep Talks for Me & You",,4.33,English,"['Poetry', 'Nonfiction', 'Self Help', 'Audiobook', 'Adult', 'Inspirational', 'Humor', 'Contemporary', 'Mental Health', 'Graphic Novels']",Capa dura,207,Headline,October 16th 2018,[],17408,"['9731', '4882', '1930', '517', '348']",95.0,[],2018.0,Lin-Manuel Miranda,2930.0,1.77
Go the F**k to Sleep,,4.27,English,"['Humor', 'Fiction', 'Picture Books', 'Childrens', 'Comedy', 'Audiobook', 'Parenting', 'Poetry', 'Adult', 'Short Stories']",Kindle Edition,17,Akashic Books,December 6th 2011,['Goodreads Choice Award Nominee for Humor (2011)'],84314,"['45520', '22520', '11530', '2977', '1767']",94.0,[],2011.0,Adam Mansbach,12832.0,12.58
Gone Girl,,4.08,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Contemporary', 'Adult', 'Adult Fiction', 'Audiobook']",Paperback,415,Broadway Books,04/22/14,"['Barry Award Nominee for Best Novel (2013)', 'Anthony Award Nominee for Best Novel (2013)', ""Romantic Times Reviewers' Choice Award (RT Award) for Suspense/Thriller Novel (2012)"", 'Shirley Jackson Award Nominee for Novel (Finalist) (2012)', 'Edgar Award Nominee for Best Novel (2013)', 'Puddly Award for Fiction (2013)', ""Women's Prize for Fiction Nominee for Longlist (2013)"", 'Grand Prix des lectrices de Elle for roman policier (2013)', 'Goodreads Choice Award for Mystery & Thriller and Nominee for Goodreads Author (2012) and Nominee for Best of the Best  (2018)']",2329146,"['946037', '842507', '371665', '107375', '61562']",93.0,"['North Carthage, Missouri (United States)', 'Missouri (United States)']",2014.0,Gillian Flynn,59499.0,15.2
Goodnight Moon,Over the Moon #2,4.28,English,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Kids', 'Animals', 'Juvenile', 'Young Adult', 'Storytime']",Hardcover,32,HarperCollins,01/23/07,[],305442,"['173548', '69785', '43078', '12325', '6706']",94.0,[],2016.0,Margaret Wise Brown,1308.0,0.25
Grandpa's Great Escape,,4.34,English,"['Childrens', 'Fiction', 'Middle Grade', 'Adventure', 'Humor', 'Historical Fiction', 'Audiobook', 'Family', 'War', 'Contemporary']",Hardcover,462,HarperCollins Children’s Books,September 24th 2015,['Australian Book Industry Award (ABIA) Nominee for International Book (2016)'],6520,"['3651', '1780', '811', '179', '99']",96.0,[],,David Walliams,,
Guess How Much I Love You,Little Nutbrown Hare,4.37,English,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Family', 'Classics', 'Love', 'Kids', 'Storytime', 'Rabbits']",Board book,20,Candlewick,January 27th 2005,"['Zilveren Griffel (1995)', 'American Booksellers Book Of The Year  Award for Children (1996)']",126119,"['75058', '29625', '15798', '3828', '1810']",96.0,[],2015.0,Sam McBratney,4219.0,8.15
Guinness World Records 2012,Guinness World Records,4.18,English,"['Nonfiction', 'Reference', 'History', 'Trivia', 'School']",Hardcover,288,Guinness World Records,September 13th 2011,[],822,"['415', '219', '129', '43', '16']",93.0,[],2011.0,Guinness World Records,395.0,1.5
Guts,,3.86,English,"['Short Stories', 'Fiction', 'Horror', 'Contemporary', 'Humor', 'Thriller', 'American', 'Dark', 'Adult', 'Literature']",,16,,,[],13624,"['4858', '4255', '2881', '1040', '590']",88.0,[],2019.0,Raina Telgemeier,7864.0,7.01
Hamilton: The Revolution,,4.46,English,"['Nonfiction', 'History', 'Plays', 'Audiobook', 'Music', 'Historical', 'Theatre', 'Biography', 'Adult', 'Drama']",Hardcover,285,Grand Central Publishing,April 12th 2016,"['Audie Award for Audiobook of the Year (2017)', 'Goodreads Choice Award for Nonfiction (2016)']",44845,"['28529', '10961', '3530', '915', '910']",96.0,[],2016.0,Lin-Manuel Miranda,8327.0,23.69
Harry Potter and the Chamber of Secrets,Harry Potter #2,4.43,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Hardcover,341,Arthur A. Levine Books / Scholastic Inc.,06/02/99,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', 'Golden Archer Award for Middle/Junior High (2008)', 'Nestlé Smarties Book Prize for 9–11 years (1998)']",2725847,"['1608855', '748165', '302543', '52312', '13972']",98.0,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",,J. K. Rowling,,
Harry Potter and the Deathly Hallows,Harry Potter #7,4.62,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Hardcover,759,Arthur A. Levine Books / Scholastic Inc.,07/21/07,"['Locus Award Nominee for Best Young Adult Novel (2008)', 'Odyssey Award Nominee (2008)', 'Audie Award (2008)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008)', 'Teen Read Award Nominee for Best All-Time-Fave (2010)', 'Puddly Award for Fiction (2008)', 'Andre Norton Award (2007)', 'Carnegie Medal Nominee (2008)']",2811637,"['2038930', '552014', '161906', '35042', '23745']",98.0,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Pagford (United Kingdom)']",,J. K. Rowling,,
Harry Potter and the Goblet of Fire,Harry Potter #4,4.56,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,734,Scholastic,09/28/02,"['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", 'Golden Archer Award for Middle/Junior High (2002)', 'Indian Paintbrush Book Award (2002)', 'Deutscher Bücherpreis for Publikumspreis', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']",2594622,"['1729403', '640440', '187274', '26301', '11204']",99.0,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",,J. K. Rowling,,
Harry Potter and the Half-Blood Prince,Harry Potter #6,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,652,Scholastic Inc.,09/16/06,"['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']",2437658,"['1646703', '584575', '167461', '27277', '11642']",98.0,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'England']",,J. K. Rowling,,
Harry Potter and the Order of the Phoenix,Harry Potter #5,4.5,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']",Paperback,870,Scholastic Inc.,09/28/04,"['Bram Stoker Award for Works for Young Readers (2003)', 'Anthony Award for Young Adult (2004)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Audie Award for Audiobook of the Year (2004)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2004)', 'Colorado Blue Spruce Young Adult Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2005)', 'Deutscher Jugendliteraturpreis Nominee for Preis der Jugendjury (2004)', 'Carnegie Medal Nominee (2003)']",2507623,"['1593642', '637516', '222366', '39573', '14526']",98.0,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",,J. K. Rowling,,
Harry Potter and the Prisoner of Azkaban,Harry Potter #3,4.57,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Middle Grade', 'Audiobook', 'Classics', 'Science Fiction Fantasy']",Mass Market Paperback,435,Scholastic Inc.,05/01/04,"['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005)', 'Colorado Blue Spruce Young Adult Book Award (2004)', 'Maine Student Book Award (2001)', 'Golden Archer Award for Intermediate (2001)', 'Indian Paintbrush Book Award (2004)', 'Soaring Eagle Book Award (2002)', 'Hotze de Roosprijs (2001)', 'Nestlé Smarties Book Prize for 9–11 years (1999)']",2806471,"['1892635', '668920', '205266', '27227', '12423']",99.0,"['Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'London, England']",,J. K. Rowling,,
Harry Potter and the Sorcerer's Stone,Harry Potter #1,4.47,English,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Classics', 'Audiobook', 'Science Fiction Fantasy']",Hardcover,309,Scholastic Inc,11/01/03,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", ""British Book Award for Children's Book of the Year (1998)"", 'Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002)', 'American Booksellers Book Of The Year  Award for Children (1999)', 'Audie Award (2000)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000)"", 'South Carolina Book Award for Junior Book Award (2001)', 'Grand Canyon Reader Award for Teen Book (2000)', 'Charlotte Award (2000)', 'Nene Award (2000)', ""Massachusetts Children's Book Award (2000)"", 'Colorado Blue Spruce Young Adult Book Award (2001)', 'Blue Hen Book Award for Chapter Book (2001)', ""Nevada Young Readers' Award for Young Reader Category (2000)"", 'Golden Archer Award for Middle/Junior High (2000)', 'Indian Paintbrush Book Award (2000)', 'Hotze de Roosprijs (2002)', 'Nestlé Smarties Book Prize for 9–11 years (1997)', 'Eliot Rosewater Indiana High School Book Award (2001)', 'Kinderboekwinkelprijs (1999)', 'Parenting Book of the Year Award (1998)', 'North East Teenage Book Award (1999)', ""Specsavers National Book Award for Children's Book of the Year (1998)"", 'Washington State Sasquatch Award (2000)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (1999)', 'Carnegie Medal Nominee (1997)', ""Rebecca Caudill Young Readers' Book Award (2001)"", 'Premi Protagonista Jove for Categoria 12-13 anys (2000)']",7048471,"['4578137', '1611874', '600384', '139551', '118525']",96.0,"['London, England', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)', 'Hogwarts School of Witchcraft and Wizardry (United Kingdom)']",2016.0,J.K. Rowling,4231.0,1.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Heaven is For Real,4.02,English,"['Nonfiction', 'Christian', 'Religion', 'Inspirational', 'Spirituality', 'Memoir', 'Biography', 'Faith', 'Christianity', 'Christian Non Fiction']",Paperback,162,Thomas Nelson,2010,[],276970,"['121313', '77785', '49855', '16966', '11051']",90.0,[],2014.0,Todd Burpo,16128.0,7.54
Heroes,,3.43,English,"['Young Adult', 'Historical Fiction', 'School', 'Fiction', 'Historical', 'War', 'Read For School', 'Classics', 'World War II', 'Thriller']",Paperback,144,Laurel Leaf,February 8th 2000,['Carnegie Medal Nominee (1998)'],2935,"['502', '913', '1015', '359', '146']",83.0,[],,Stephen Fry,,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,,3.93,English,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Politics', 'Biography Memoir', 'Sociology', 'History', 'Autobiography', 'Book Club']",Hardcover,257,Harper,June 28th 2016,"['Audie Award for Nonfiction (2017)', 'Ohioana Book Award for About Ohio or an Ohioan (2017)', 'Kirkus Prize Nominee for Nonfiction (2016)', 'Goodreads Choice Award Nominee for Memoir & Autobiography (2016)']",302052,"['92226', '122846', '65341', '16023', '5616']",93.0,"['Middletown, Ohio (United States)', 'New Haven, Connecticut (United States)', 'Jackson, Kentucky (United States)']",2017.0,J. D. Vance,19318.0,2.75
His Dark Materials,His Dark Materials #1-3,4.25,English,"['Fantasy', 'Young Adult', 'Fiction', 'Childrens', 'Science Fiction Fantasy', 'Science Fiction', 'Adventure', 'Classics', 'Steampunk', 'Magic']",Mass Market Paperback,1088,Laurel Leaf Library,09/23/03,['Literaturpreis der Jury der jungen Leser for Kinderbuch (2002)'],143625,"['74761', '42286', '18018', '5392', '3168']",94.0,"['Oxford, England']",,Philip Pullman,,
Holes,Holes #1,3.97,English,"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']",Paperback,233,Scholastic,09/02/00,"['Newbery Medal (1999)', ""National Book Award for Young People's Literature (1998)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001)"", 'Grand Canyon Reader Award for Teen Book (2001)', 'Nene Award (2001)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2001)', ""Massachusetts Children's Book Award (2001)"", ""Flicker Tale Children's Book Award (2000)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000)"", ""Dorothy Canfield Fisher Children's Book Award (2000)"", 'Evergreen Teen Book Award (2001)', 'Soaring Eagle Book Award (2003)', 'Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002)', ""Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001)"", 'Zilveren Zoen (2000)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001)', 'Boston Globe-Horn Book Award for Fiction (1999)', 'New Mexico Land of Enchantment Award for Young Adult (2001)', ""William Allen White Children's Book Award (2001)"", 'Oklahoma Sequoyah Award for Children and YA (2001)', ""Rebecca Caudill Young Readers' Book Award (2002)"", 'Premi Protagonista Jove for Categoria 14-15 anys (2000)']",969512,"['348320', '336345', '212135', '52958', '19754']",93.0,"['Green Lake, Texas (United States)']",,Louis Sachar,,
